"","country","education","internet","area","income"
"1","Alameda County, California",0.474,0.889,739.02,99406
"2","Alpine County, California",0.345,0.826,738.33,63750
"3","Amador County, California",0.193,0.846,594.58,62772
"4","Butte County, California",0.272,0.854,1636.46,52537
"5","Calaveras County, California",0.183,0.823,1020.01,63158
"6","Colusa County, California",0.15,0.81,1150.73,59401
"7","Contra Costa County, California",0.424,0.917,715.94,99716
"8","Del Norte County, California",0.148,0.797,1006.37,45283
"9","El Dorado County, California",0.343,0.872,1707.88,83377
"10","Fresno County, California",0.212,0.802,5957.99,53969
"11","Glenn County, California",0.142,0.716,1313.95,49633
"12","Humboldt County, California",0.304,0.835,3567.99,48041
"13","Imperial County, California",0.152,0.775,4176.6,47622
"14","Inyo County, California",0.272,0.803,10180.88,57316
"15","Kern County, California",0.164,0.797,8131.92,53350
"16","Kings County, California",0.147,0.804,1389.42,57848
"17","Lake County, California",0.155,0.766,1256.46,47040
"18","Lassen County, California",0.129,0.788,4541.18,56352
"19","Los Angeles County, California",0.325,0.843,4057.88,68044
"20","Madera County, California",0.146,0.799,2137.07,57585
"21","Marin County, California",0.595,0.913,520.31,115246
"22","Mariposa County, California",0.246,0.749,1448.82,48820
"23","Mendocino County, California",0.244,0.811,3506.34,51416
"24","Merced County, California",0.138,0.839,1934.97,53672
"25","Modoc County, California",0.152,0.697,3917.77,45507
"26","Mono County, California",0.288,0.841,3048.98,62260
"27","Monterey County, California",0.247,0.842,3280.6,71015
"28","Napa County, California",0.357,0.891,748.36,88596
"29","Nevada County, California",0.372,0.857,957.77,66096
"30","Orange County, California",0.406,0.907,790.57,90234
"31","Placer County, California",0.397,0.896,1407.01,89691
"32","Plumas County, California",0.237,0.779,2553.04,55359
"33","Riverside County, California",0.223,0.866,7206.48,67005
"34","Sacramento County, California",0.309,0.879,964.64,67151
"35","San Benito County, California",0.197,0.902,1388.71,86958
"36","San Bernardino County, California",0.21,0.844,20056.94,63362
"37","San Diego County, California",0.388,0.902,4206.63,78980
"38","San Francisco County, California",0.581,0.876,46.87,112449
"39","San Joaquin County, California",0.188,0.829,1391.32,64432
"40","San Luis Obispo County, California",0.354,0.88,3298.57,73518
"41","San Mateo County, California",0.51,0.91,448.41,122641
"42","Santa Barbara County, California",0.342,0.878,2735.09,74624
"43","Santa Clara County, California",0.524,0.918,1290.1,124055
"44","Santa Cruz County, California",0.408,0.873,445.17,82234
"45","Shasta County, California",0.222,0.803,3775.4,54667
"46","Sierra County, California",0.179,0.748,953.21,52148
"47","Siskiyou County, California",0.232,0.802,6277.89,45241
"48","Solano County, California",0.269,0.905,821.77,81472
"49","Sonoma County, California",0.355,0.895,1575.85,81018
"50","Stanislaus County, California",0.171,0.848,1494.83,60704
"51","Sutter County, California",0.182,0.827,602.41,59050
"52","Tehama County, California",0.157,0.757,2949.71,44514
"53","Trinity County, California",0.195,0.678,3179.25,40846
"54","Tulare County, California",0.146,0.777,4824.22,49687
"55","Tuolumne County, California",0.205,0.82,2220.88,60108
"56","Ventura County, California",0.338,0.882,1843.13,88131
"57","Yolo County, California",0.414,0.883,1014.69,70228
"58","Yuba County, California",0.171,0.831,631.84,58054
